Rank,Release Group,Worldwide,Domestic,%,Foreign,%
246,The Wedding Unplanner,"$3,053,933",-,-,"$3,053,933",100%
247,Oversize Love,"$3,013,782",-,-,"$3,013,782",100%
248,The Enigma of Arrival,"$3,002,045",-,-,"$3,002,045",100%
249,Appearances,"$2,991,236",-,-,"$2,991,236",100%
250,Les traducteurs,"$2,988,504",-,-,"$2,988,504",100%
251,My Cousin,"$2,974,059",-,-,"$2,974,059",100%
252,It's for Your Own Good,"$2,966,418",$256,<0.1%,"$2,966,162",100%
253,Men at Work: Miami,"$2,906,158",-,-,"$2,906,158",100%
254,Caught in the Net,"$2,894,447",-,-,"$2,894,447",100%
255,Scumbag,"$2,876,675",-,-,"$2,876,675",100%
256,Life as It Should Be,"$2,870,736",-,-,"$2,870,736",100%
257,Zenek,"$2,832,175",-,-,"$2,832,175",100%
258,Poly,"$2,777,184",-,-,"$2,777,184",100%
259,Das geheime Leben der Bäume,"$2,737,511",-,-,"$2,737,511",100%
260,Silent Tokyo,"$2,730,104",-,-,"$2,730,104",100%
261,Made in Italy,"$2,711,560","$101,339",3.7%,"$2,610,221",96.3%
262,Miami Bici,"$2,663,916",-,-,"$2,663,916",100%
263,The Memory Eraser,"$2,662,177",-,-,"$2,662,177",100%
264,Doi Mat Am Duong,"$2,642,944",-,-,"$2,642,944",100%
265,Kamen Rider Zero-One: Real×Time,"$2,611,150",-,-,"$2,611,150",100%
266,How to Make Out,"$2,607,444",-,-,"$2,607,444",100%
267,Small Country: An African Childhood,"$2,590,629",-,-,"$2,590,629",100%
268,Gekijôban Shirobako,"$2,588,312",-,-,"$2,588,312",100%
269,How to Train Your Dragon: The Hidden World 2020 Re-release,"$2,584,144",-,-,"$2,584,144",100%
270,Knutsen & Ludvigsen 2 - Det Store Dyret,"$2,561,134",-,-,"$2,561,134",100%
271,Bayi Toplantisi,"$2,560,632",-,-,"$2,560,632",100%
272,OH! My Gran,"$2,541,300",-,-,"$2,541,300",100%
273,Sifir Bir,"$2,536,753",-,-,"$2,536,753",100%
274,The Girl with a Bracelet,"$2,535,002",-,-,"$2,535,002",100%
275,Belle fille,"$2,513,010",-,-,"$2,513,010",100%
276,Ròm,"$2,509,318",-,-,"$2,509,318",100%
277,A Friendly Tale,"$2,498,066",-,-,"$2,498,066",100%
278,Queens of the Field,"$2,476,539",-,-,"$2,476,539",100%
279,Escape from Pretoria,"$2,431,995",-,-,"$2,431,995",100%
280,The Nightmare Before Christmas 2020 Re-release,"$2,351,189","$2,286,000",97.2%,"$65,189",2.8%
281,"The Things We Say, the Things We Do","$2,335,674",-,-,"$2,335,674",100%
282,"Blue, Painful and Brittle","$2,305,766",-,-,"$2,305,766",100%
283,Coma,"$2,264,162",-,-,"$2,264,162",100%
284,The King of Staten Island,"$2,249,395",-,-,"$2,249,395",100%
285,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,"$2,242,513",-,-,"$2,242,513",100%
286,Relic,"$2,241,793","$1,047,083",46.7%,"$1,194,710",53.3%
287,Bad Boy,"$2,237,552",-,-,"$2,237,552",100%
288,The High Note,"$2,213,769",-,-,"$2,213,769",100%
289,Half Brothers,"$2,200,135","$2,200,135",100%,-,-
290,Elf 2020 Re-release,"$2,181,963","$2,003,568",91.8%,"$178,395",8.2%
291,Happiest Season,"$2,110,618",-,-,"$2,110,618",100%
292,The Outpost,"$2,092,523",-,-,"$2,092,523",100%
293,"God, You're Such a Prick","$2,064,736",-,-,"$2,064,736",100%
294,Perfumes,"$2,058,848",-,-,"$2,058,848",100%
295,Looking for Magical DoReMi,"$2,044,264",-,-,"$2,044,264",100%
296,Parents d'élèves,"$2,033,629",-,-,"$2,033,629",100%
297,Chlap na strídacku,"$2,032,855",-,-,"$2,032,855",100%
298,The Magic Kids: Three Unlikely Heroes,"$2,025,168",-,-,"$2,025,168",100%
299,De Grote Slijmfilm,"$2,008,512",-,-,"$2,008,512",100%
300,Jurassic World: Fallen Kingdom 2020 Re-release,"$1,996,736",-,-,"$1,996,736",100%
301,Charlatan,"$1,994,772",-,-,"$1,994,772",100%
302,Papi Sitter,"$1,975,973",-,-,"$1,975,973",100%
303,All My Life,"$1,969,195","$913,935",46.4%,"$1,055,260",53.6%
304,30 Chua Phai Tet,"$1,957,005",-,-,"$1,957,005",100%
305,The Day I Died: Unclosed Case,"$1,949,722",-,-,"$1,949,722",100%
306,Hayaller Ülkesi: Gamonya,"$1,943,338",-,-,"$1,943,338",100%
307,The Craft: Legacy,"$1,918,816",-,-,"$1,918,816",100%
308,Jurassic Park 2020 Re-release,"$1,906,501","$1,386,600",72.7%,"$519,901",27.3%
309,Pirates Down the Street,"$1,900,418",-,-,"$1,900,418",100%
310,Play,"$1,899,658",-,-,"$1,899,658",100%
311,Great Performances at the Met: The Gershwins' Porgy and Bess,"$1,887,761",-,-,"$1,887,761",100%
312,Beyond the Dream,"$1,869,039",-,-,"$1,869,039",100%
313,Misbehaviour,"$1,835,484",-,-,"$1,835,484",100%
314,Swingersi,"$1,827,589",-,-,"$1,827,589",100%
315,The Fantastic Journey of Margot & Marguerite,"$1,822,472",-,-,"$1,822,472",100%
316,"I Have Loved you for 30 Years, Yayoi","$1,783,960",-,-,"$1,783,960",100%
317,3Grapes,"$1,750,746",-,-,"$1,750,746",100%
318,Wife of a Spy,"$1,745,270",-,-,"$1,745,270",100%
319,Darbar,"$1,738,535",-,-,"$1,738,535",100%
320,The Comeback Trail,"$1,728,002",-,-,"$1,728,002",100%
321,Josée,"$1,697,922",-,-,"$1,697,922",100%
322,Paw Patrol: Jet to the Rescue,"$1,695,576",-,-,"$1,695,576",100%
323,Night Shift,"$1,695,019",$534,<0.1%,"$1,694,485",100%
324,"Kiss Him, Not Me","$1,669,719",-,-,"$1,669,719",100%
325,How I Became Russian,"$1,668,824",-,-,"$1,668,824",100%
326,Fatman,"$1,634,659","$278,378",17%,"$1,356,281",83%
327,Casanova's,"$1,616,489",-,-,"$1,616,489",100%
328,L'esprit de famille,"$1,602,914",-,-,"$1,602,914",100%
329,Kalashnikov,"$1,593,464",-,-,"$1,593,464",100%
330,Little Vampire,"$1,567,970",-,-,"$1,567,970",100%
331,Wasp Network,"$1,566,104",-,-,"$1,566,104",100%
332,Terrible Jungle,"$1,560,874",-,-,"$1,560,874",100%
333,Realnye patsany protiv zombi,"$1,554,305",-,-,"$1,554,305",100%
334,Come Away,"$1,552,107","$184,477",11.9%,"$1,367,630",88.1%
335,The Crossing,"$1,540,601",-,-,"$1,540,601",100%
336,#Iamhere,"$1,536,823",-,-,"$1,536,823",100%
337,Knerten og sjøormen,"$1,496,735",-,-,"$1,496,735",100%
338,The Swordsman,"$1,495,125",-,-,"$1,495,125",100%
339,Veinteañera: Divorciada y Fantástica,"$1,486,553",-,-,"$1,486,553",100%
340,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
341,Extinction,"$1,451,864",-,-,"$1,451,864",100%
342,The Cornered Mouse Dreams of Cheese,"$1,441,478",-,-,"$1,441,478",100%
343,Türkler Geliyor: Adaletin Kilici,"$1,412,062",-,-,"$1,412,062",100%
344,Cosmoball,"$1,407,486",-,-,"$1,407,486",100%
345,New Order,"$1,406,926",-,-,"$1,406,926",100%
346,Nang 3: Loi Hua Cua Cha,"$1,398,976",-,-,"$1,398,976",100%
347,Superagente Makey,"$1,395,217",-,-,"$1,395,217",100%
348,Wednesday Disappears,"$1,390,871",-,-,"$1,390,871",100%
349,Saint Maud,"$1,383,868",-,-,"$1,383,868",100%
350,Josep,"$1,373,465",-,-,"$1,373,465",100%
351,Max und die wilde 7,"$1,369,679",-,-,"$1,369,679",100%
352,Mutiny of the Worker Bees,"$1,368,432",-,-,"$1,368,432",100%
353,The Goonies 2020 Re-release,"$1,365,472","$825,000",60.4%,"$540,472",39.6%
354,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
355,Karakomik Filmler: Emanet,"$1,360,837",-,-,"$1,360,837",100%
356,"Turu, the Wacky Hen","$1,360,825",-,-,"$1,360,825",100%
357,2 Hearts,"$1,349,286","$1,349,286",100%,-,-
358,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
359,The Dark Knight 2020 Re-release,"$1,330,612",-,-,"$1,330,612",100%
360,The Tax Collector,"$1,325,781","$1,044,212",78.8%,"$281,569",21.2%
361,The Hater,"$1,325,591",-,-,"$1,325,591",100%
362,Temporary Difficulties,"$1,312,189",-,-,"$1,312,189",100%
363,Pee Nak 2,"$1,302,777",-,-,"$1,302,777",100%
364,Angrezi Medium,"$1,301,330",-,-,"$1,301,330",100%
365,Savage,"$1,289,813",-,-,"$1,289,813",100%
366,Bohemian Rhapsody 2020 Re-release,"$1,282,223","$240,000",18.7%,"$1,042,223",81.3%
367,Kajillionaire,"$1,277,534","$531,430",41.6%,"$746,104",58.4%
368,The Perfect Candidate,"$1,270,023",-,-,"$1,270,023",100%
369,Beauty Water,"$1,261,400",-,-,"$1,261,400",100%
